step,key,operations,nanos
1032,918872,5,800
1033,739248,9,900
1034,13696,10,900
1035,657556,4,1200
1036,80256,13,1000
1037,41874,15,6200
1038,658600,4,700
1039,320786,9,11200
1040,614397,9,5800
1041,543268,10,480600
1042,510202,7,121600
1043,259248,10,9600
1044,440771,10,1200
1045,858604,7,1000
1046,464461,7,700
1047,518969,10,1000
1048,170145,16,9900
1049,642265,7,1100
1050,8062,14,1100
1051,372692,8,800
1052,228219,9,5800
1053,347957,12,5100
1054,630004,13,5800
1055,644105,14,8000
1056,325600,9,4100
1057,496822,14,17100
1058,662863,12,9700
1059,251555,10,1400
1060,988743,4,1200
1061,816564,10,1500
1062,653933,6,1300
1063,216944,14,7800
1064,344363,14,5100
1065,573622,14,4800
1066,939480,8,1100
1067,193445,9,700
1068,391680,9,700
1069,477605,15,12600
1070,119247,11,1100
1071,904542,7,900
1072,18320,16,900
1073,795234,7,5500
1074,500912,11,5000
1075,489220,9,9300
1076,507639,7,900
1077,494515,9,700
1078,228287,8,700
1079,646024,8,900
1080,625911,7,800
1081,696344,10,6100
1082,194069,9,700
1083,80203,14,1000
1084,624825,9,700
1085,22268,14,900
1086,185575,11,5700
1087,477152,12,800
1088,420769,9,800
1089,514951,4,600
1090,35762,11,800
1091,947177,6,1300
1092,645004,9,1700
1093,887824,6,900
1094,574400,13,800
1095,287838,9,800
1096,213737,12,8400
1097,22832,13,800
1098,169818,12,800
1099,811564,12,1600
1100,122737,10,7900
1101,493874,12,10400
1102,563211,6,900
1103,938489,11,9600
1104,168132,13,800
1105,165926,15,800
1106,354252,9,900
1107,532230,10,5600
1108,235554,10,1000
1109,115029,12,800
1110,552849,6,700
1111,983342,3,600
1112,480258,11,1200
1113,600782,11,900
1114,984623,3,3400
1115,861579,8,1000
1116,789266,12,12800
1117,955487,7,800
1118,709480,9,800
1119,491448,11,1000
1120,713612,8,5400
1121,220575,8,800
1122,692629,9,700
1123,837488,10,600
1124,191666,13,700
1125,682088,7,700
1126,211438,14,600
1127,761045,10,800
1128,588454,9,700
1129,604963,12,600
1130,869369,6,700
1131,934989,10,900
1132,658152,5,600
1133,244156,10,5800
1134,382413,14,1100
1135,572295,16,900
1136,566316,8,5500
1137,487732,7,1300
1138,777026,5,1000
1139,379676,7,800
1140,176471,11,900
1141,484948,8,500
1142,835576,13,700
1143,939536,7,700
