step,key,operations,nanos
580,302923,13,4500
581,942222,14,6000
582,188445,15,7000
583,207597,19,4300
584,740811,18,6300
585,321086,15,4600
586,173621,12,4800
587,730646,14,7300
588,804565,13,2200
589,219987,6,6100
590,60272,9,4700
591,868579,14,7700
592,376730,13,8200
593,544629,16,3500
594,559435,12,5500
595,365455,12,4900
596,748787,6,5500
597,445754,13,7200
598,607620,8,4700
599,637992,12,2200
600,222050,10,6700
601,192121,17,6100
602,768613,16,5400
603,778733,13,7500
604,958301,13,4600
605,181070,10,6300
606,205558,16,3900
607,628162,15,5300
608,125965,13,4200
609,597529,16,2800
610,210523,18,2400
611,647149,13,6700
612,932957,15,12300
613,331268,7,5300
614,513980,15,4500
615,690885,10,4700
616,804638,11,4400
617,30108,7,4100
618,393363,11,3800
619,688992,7,5300
620,843128,14,3100
621,567692,13,4500
622,227503,7,10000
623,414462,13,4400
624,204054,14,3700
625,87063,9,2300
626,477683,14,17700
627,926526,17,7100
628,237829,12,5700
629,556542,14,4900
630,527498,12,7100
631,140780,11,2300
632,329402,10,2500
633,557097,14,5200
634,471865,17,3700
635,946843,16,8600
636,386922,12,8400
637,28668,6,5900
638,797737,9,5000
639,44116,10,9100
640,287900,10,85600
641,400887,11,6800
642,654641,11,8000
643,237609,11,8000
644,76573,7,4100
645,12761,5,3100
646,695719,11,4600
647,167792,16,6200
648,257435,11,5000
649,420974,13,2600
650,524423,21,8200
651,347333,11,8000
652,308477,11,7300
653,138054,12,5200
654,769671,11,9900
655,232087,7,5100
656,861818,17,7500
657,373958,15,11500
658,793241,15,4800
659,894909,13,2400
660,573439,16,3300
661,904872,14,2900
662,57087,9,7600
663,747686,17,5500
664,584854,9,2500
665,141185,14,4700
666,528906,11,6500
667,292914,15,3300
668,777186,12,36185000
669,233181,10,50600
670,704491,12,25100
671,824536,17,7000
672,259909,18,6700
673,664904,8,6900
674,799254,12,1900
675,989106,19,4500
676,958230,18,93300
677,798372,10,2400
678,86847,10,6700
679,798666,12,3600
680,872539,16,2200
681,669082,9,1900
682,124595,11,3900
683,610078,8,4700
684,146889,20,26900
685,941605,15,6600
686,121512,10,6300
687,798802,16,5200
688,37433,7,8600
689,662860,13,6200
690,364036,12,6700
691,480279,11,6800
692,459235,14,2700
693,248281,12,3900
694,299157,8,6000
695,626695,10,3900
696,486459,11,1400
697,802537,16,3200
698,379676,16,3900
699,559224,13,1800
700,80886,7,3300
701,597092,15,3200
702,803957,13,7000
703,658170,7,1800
704,461392,15,3700
705,278602,14,3900
706,609670,6,2800
707,733585,9,2000
708,769516,10,4500
709,401224,13,3700
710,989535,16,4800
711,436147,19,4500
712,277125,9,1700
713,377156,15,1400
714,560398,14,3700
715,543268,16,4100
716,489320,9,2600
717,196355,13,1700
718,512545,14,1700
719,789352,16,3500
720,773851,13,2800
721,540633,11,2200
722,242169,11,3300
723,424969,15,3600
724,530871,12,3900
725,442636,10,5000
726,180459,11,1700
727,57392,8,1400
728,333805,10,8800
729,915480,13,5500
730,822970,18,4200
731,685067,9,4500
732,458349,13,4100
733,272397,9,3500
734,231483,11,3900
735,294314,13,5100
736,124787,11,2600
737,91089,10,4500
738,374756,10,2000
739,562031,10,1500
740,61152,12,1400
741,231538,13,2700
742,557795,17,4600
743,569376,13,1800
744,262641,7,1900
745,355855,12,1600
746,898359,18,7200
747,344298,13,3800
748,568867,11,1500
749,705903,12,3300
750,287838,10,6800
751,60945,12,3100
752,930606,15,4600
753,280829,11,3700
754,523950,14,2200
755,641662,16,6300
756,450428,12,3800
757,620364,13,6900
758,467447,13,7200
759,54888,8,3300
760,630450,11,5500
761,213108,7,3700
762,686967,14,3800
763,540733,9,1700
764,146537,14,3800
765,575349,17,3300
766,364112,10,1300
767,6659,10,1500
768,584978,12,18980500
769,282650,13,645600
770,300847,9,97400
771,772468,11,35200
772,924823,13,26200
773,260071,17,25400
774,174822,11,1500
775,633122,11,4800
776,972835,9,33000
777,517442,8,1300
778,620657,11,1200
779,411372,11,14200
780,285718,12,1200
781,579299,12,1300
782,591724,12,3300
783,115461,8,1000
784,356690,9,1000
785,203161,12,4200
786,658728,8,4300
787,292821,15,3800
788,567629,14,3700
