Номер операции,Время(нс),Количество операций
724 , 600 , 12
725 , 600 , 7
726 , 600 , 9
727 , 600 , 6
728 , 3200 , 7
729 , 700 , 13
730 , 500 , 7
731 , 600 , 8
732 , 3800 , 12
733 , 800 , 7
734 , 500 , 9
735 , 5200 , 8
736 , 700 , 9
737 , 600 , 6
738 , 600 , 11
739 , 2300 , 6
740 , 600 , 8
741 , 4100 , 12
742 , 600 , 6
743 , 600 , 14
744 , 600 , 7
745 , 2200 , 9
746 , 500 , 7
747 , 700 , 15
748 , 600 , 8
749 , 600 , 13
750 , 600 , 12
751 , 3200 , 14
752 , 800 , 7
753 , 600 , 6
754 , 2800 , 11
755 , 600 , 5
756 , 600 , 8
757 , 400 , 6
758 , 3000 , 14
759 , 2600 , 7
760 , 800 , 12
761 , 600 , 3
762 , 4900 , 15
763 , 3300 , 15
764 , 3000 , 13
765 , 2900 , 11
766 , 800 , 8
767 , 600 , 5
768 , 5800 , 8
769 , 7800 , 13
770 , 4100 , 14
771 , 700 , 8
772 , 700 , 8
773 , 600 , 9
774 , 600 , 9
775 , 600 , 9
776 , 600 , 9
777 , 500 , 9
778 , 3000 , 8
779 , 700 , 8
780 , 500 , 10
781 , 500 , 10
782 , 500 , 6
783 , 500 , 8
784 , 500 , 7
785 , 500 , 6
786 , 700 , 11
787 , 600 , 9
788 , 700 , 10
789 , 500 , 6
790 , 3300 , 11
791 , 700 , 8
792 , 600 , 8
793 , 2800 , 8
794 , 700 , 6
795 , 600 , 10
796 , 2700 , 13
797 , 800 , 7
798 , 600 , 12
799 , 600 , 10
800 , 500 , 9
801 , 500 , 8
802 , 3300 , 10
803 , 600 , 7
804 , 3000 , 10
805 , 700 , 9
806 , 500 , 9
807 , 800 , 3
808 , 2600 , 11
809 , 600 , 5
810 , 3100 , 13
811 , 4000 , 10
812 , 600 , 9
813 , 600 , 5
814 , 500 , 8
815 , 3300 , 9
816 , 700 , 8
817 , 2900 , 7
818 , 6900 , 11
819 , 800 , 7
820 , 3500 , 7
821 , 800 , 9
822 , 6900 , 7
823 , 3000 , 6
824 , 700 , 9
825 , 4500 , 9
826 , 900 , 10
827 , 500 , 8
828 , 600 , 5
829 , 600 , 7
830 , 600 , 8
831 , 600 , 5
832 , 600 , 8
833 , 600 , 14
834 , 700 , 10
835 , 500 , 5
836 , 600 , 14
837 , 6300 , 9
838 , 800 , 4
839 , 700 , 9
840 , 700 , 5
841 , 5500 , 16
842 , 2400 , 9
843 , 8900 , 13
844 , 800 , 7
845 , 600 , 8
846 , 700 , 10
847 , 3200 , 9
848 , 700 , 14
849 , 2700 , 8
850 , 3100 , 15
851 , 2900 , 11
852 , 700 , 8
853 , 700 , 6
854 , 700 , 12
855 , 500 , 7
856 , 600 , 11
857 , 700 , 8
858 , 600 , 8
859 , 2600 , 7
860 , 2800 , 12
861 , 5100 , 8
862 , 700 , 10
863 , 600 , 10
864 , 600 , 11
865 , 2500 , 5
866 , 900 , 16
867 , 700 , 9
868 , 3300 , 10
869 , 800 , 5
870 , 2900 , 13
871 , 600 , 12
872 , 600 , 5
873 , 600 , 9
874 , 6600 , 7
875 , 800 , 10
876 , 500 , 8
877 , 3000 , 11
878 , 3100 , 13
879 , 700 , 7
880 , 2900 , 11
881 , 700 , 7
882 , 700 , 5
883 , 600 , 6
884 , 8900 , 11
885 , 900 , 9
886 , 2500 , 4
887 , 800 , 9
888 , 600 , 8
889 , 3400 , 12
890 , 700 , 11
891 , 500 , 5
892 , 500 , 9
893 , 500 , 13
894 , 600 , 6
895 , 700 , 12
896 , 2800 , 6
897 , 900 , 9
898 , 7500 , 12
899 , 800 , 11
900 , 47900 , 10
901 , 23100 , 11
902 , 4800 , 9
903 , 800 , 4
904 , 3300 , 9
905 , 700 , 5
906 , 500 , 12
907 , 400 , 8
908 , 500 , 5
909 , 400 , 7
910 , 400 , 4
911 , 2800 , 9
912 , 600 , 11
913 , 17600 , 6
914 , 86500 , 8
915 , 1200 , 13
916 , 600 , 12
917 , 1700 , 8
918 , 500 , 2
919 , 400 , 6
920 , 600 , 8
921 , 26400 , 9
922 , 1000 , 8
923 , 500 , 5
924 , 600 , 10
925 , 500 , 8
926 , 500 , 7
927 , 4600 , 13
928 , 600 , 5
929 , 400 , 7
930 , 400 , 5
931 , 500 , 10
932 , 600 , 11
933 , 3100 , 12
934 , 600 , 7
935 , 500 , 10
936 , 400 , 4
937 , 27500 , 5
938 , 3500 , 13
939 , 2700 , 7
940 , 500 , 5
941 , 2700 , 13
942 , 1600 , 10
943 , 700 , 6
944 , 500 , 9
945 , 400 , 8
946 , 600 , 12
947 , 400 , 6
948 , 500 , 13
949 , 4400 , 12
950 , 700 , 10
951 , 500 , 6
952 , 500 , 9
953 , 2500 , 7
954 , 2500 , 11
955 , 700 , 10
956 , 500 , 7
957 , 400 , 7
958 , 3200 , 15
959 , 500 , 6
960 , 3100 , 16
961 , 2400 , 9
962 , 700 , 9
963 , 400 , 6
964 , 500 , 7
965 , 500 , 8
966 , 500 , 9
967 , 500 , 9
968 , 3000 , 12
969 , 600 , 3
970 , 500 , 8
971 , 5900 , 19
972 , 2100 , 7
973 , 2300 , 10
974 , 600 , 13
975 , 2600 , 11
976 , 4900 , 7
977 , 700 , 7
978 , 3300 , 11
979 , 600 , 9
980 , 2900 , 10
981 , 600 , 5
982 , 500 , 6
983 , 400 , 6
984 , 400 , 4
985 , 600 , 9
986 , 400 , 9
987 , 500 , 11
988 , 600 , 11
989 , 3500 , 15
990 , 500 , 5
991 , 500 , 11
992 , 500 , 8
993 , 400 , 6
994 , 600 , 10
995 , 500 , 9
996 , 500 , 7
997 , 600 , 11
998 , 500 , 7
999 , 300 , 2
1000 , 500 , 10
1001 , 3100 , 7
1002 , 600 , 9
1003 , 700 , 11
1004 , 600 , 14
1005 , 3000 , 10
1006 , 2500 , 10
1007 , 2400 , 11
1008 , 600 , 14
1009 , 2200 , 10
1010 , 500 , 10
1011 , 400 , 8
1012 , 2400 , 8
1013 , 600 , 7
1014 , 400 , 9
1015 , 4700 , 16
1016 , 600 , 9
1017 , 2500 , 11
1018 , 600 , 7
1019 , 600 , 12
1020 , 500 , 5
1021 , 500 , 9
1022 , 400 , 6
1023 , 6400 , 10
1024 , 5400 , 9
1025 , 700 , 9
1026 , 500 , 12
1027 , 400 , 8
1028 , 3400 , 8
1029 , 600 , 6
1030 , 500 , 12
1031 , 3300 , 4
1032 , 2700 , 11
1033 , 600 , 8
1034 , 500 , 9
1035 , 2400 , 7
1036 , 2700 , 16
1037 , 600 , 10
1038 , 500 , 12
1039 , 400 , 7
1040 , 2800 , 12
1041 , 600 , 7
1042 , 400 , 8
1043 , 500 , 9
1044 , 700 , 8
1045 , 500 , 12
1046 , 500 , 13
1047 , 2400 , 10
1048 , 600 , 5
1049 , 2100 , 6
1050 , 15300 , 11
1051 , 3900 , 13
1052 , 2700 , 9
1053 , 4200 , 10
1054 , 600 , 13
1055 , 500 , 8
1056 , 400 , 5
1057 , 400 , 4
1058 , 500 , 11
1059 , 2300 , 11
1060 , 600 , 9
1061 , 600 , 15
1062 , 2400 , 14
1063 , 600 , 8
1064 , 500 , 10
1065 , 500 , 11
1066 , 600 , 8
1067 , 300 , 4
1068 , 12100 , 10
1069 , 700 , 10
1070 , 2900 , 13
1071 , 600 , 12
1072 , 500 , 7
1073 , 500 , 9
1074 , 500 , 10
1075 , 2400 , 7
1076 , 600 , 9
1077 , 500 , 6
1078 , 2300 , 9
1079 , 600 , 11
1080 , 500 , 11
1081 , 500 , 7
1082 , 400 , 9
1083 , 500 , 6
1084 , 2400 , 9
1085 , 500 , 9
1086 , 500 , 8
1087 , 600 , 12
1088 , 500 , 9
1089 , 500 , 7
1090 , 500 , 10
1091 , 2700 , 15
1092 , 600 , 13
1093 , 900 , 9
1094 , 500 , 8
1095 , 400 , 9
1096 , 500 , 14
1097 , 600 , 11
1098 , 2000 , 7
1099 , 500 , 12
1100 , 400 , 13
1101 , 500 , 13
1102 , 400 , 12
1103 , 2300 , 15
1104 , 500 , 8
1105 , 400 , 7
1106 , 600 , 12
1107 , 2200 , 9
1108 , 500 , 10
1109 , 1800 , 12
1110 , 500 , 6
1111 , 500 , 12
1112 , 2400 , 14
1113 , 500 , 7
1114 , 2200 , 12
1115 , 600 , 9
1116 , 500 , 7
1117 , 400 , 10
1118 , 700 , 10
1119 , 500 , 11
1120 , 700 , 10
1121 , 2800 , 12
1122 , 1900 , 10
1123 , 500 , 8
1124 , 500 , 10
1125 , 2600 , 14
1126 , 2600 , 11
1127 , 600 , 14
1128 , 400 , 5
1129 , 500 , 4
1130 , 2100 , 14
1131 , 600 , 8
1132 , 400 , 7
1133 , 400 , 5
1134 , 3000 , 18
1135 , 500 , 9
1136 , 500 , 5
1137 , 500 , 8
1138 , 600 , 13
1139 , 2500 , 13
1140 , 600 , 7
1141 , 300 , 10
1142 , 700 , 12
1143 , 600 , 8
1144 , 600 , 8
1145 , 2400 , 7
1146 , 600 , 13
1147 , 2400 , 9
1148 , 2700 , 10
1149 , 500 , 7
1150 , 600 , 13
1151 , 500 , 7
